symbol,company_name,market_cap,latest_volume,cycle,isPurePrediction,release_date,whenInTheDay,end_price(first_available_sell_point),did_end_price_date_calculation_succeed,prediction [%],factor_price_change_list,weight_distribution_list,confidence,actual_price_change [%],digression [%],signComparison(predict/actual),start_price,n_open_price,n_close_price,n_high_price,n_low_price,n+1_open_price,n+1_close_price,n+1_high_price,n+1_low_price,n+2_close_price,n+2_high_price,n+2_low_price,n+3_close_price,n+3_high_price,n+3_low_price,n+4_close_price,n+4_high_price,n+4_low_price,n+5_close_price,n+5_high_price,n+5_low_price,prediction 0 [%],factor_price_change_list_parsed,prediction_by_factor_1,prediction_by_factor_2,prediction_by_factor_3,prediction_by_factor_4,is_false_positive_factor_1,is_false_negative_factor_1,is_false_positive_factor_2,is_false_negative_factor_2,is_false_positive_factor_3,is_false_negative_factor_3,is_false_positive_factor_4,is_false_negative_factor_4,end_price,didWin,didWin_always_buy
CMI,Cummins Inc. Common Stock,45540391399.0,1416683,4,False,2025-02-04,Before market open,361.0,True,5.23,"[10.0, 3.5, 1.5, 5.0]","[0.26, 0.18, 0.23, 0.33]",0.85,3.67,1.56,+/+,348.21,361.0,363.51,368.6,359.92,365.54,369.91,371.03,362.0,369.15,373.92,366.07,371.86,373.53,369.34,373.9,376.87,369.28,372.55,373.33,369.0,5.23,"[10.0, 3.5, 1.5, 5.0]",10.0,3.5,1.5,5.0,False,False,False,False,False,False,False,False,361.0,True,True
CW,Curtiss-Wright Corporation Common Stock,14599697943.0,301951,4,False,2025-02-12,After market close,360.0,True,3.11,"[7.5, 2.5, 2.0, 0.75]","[0.26, 0.18, 0.23, 0.33]",0.75,2.66,0.45,+/+,350.68,344.21,341.94,349.24,340.41,360.0,337.95,360.0,331.38,323.2,341.33,320.66,325.56,328.0,322.9,335.58,338.77,326.14,330.39,337.35,327.91,3.11,"[7.5, 2.5, 2.0, 0.75]",7.5,2.5,2.0,0.75,False,False,False,False,False,False,False,False,360.0,True,True
CYBR,CyberArk Software Ltd. Ordinary Shares,18183990422.0,1111909,4,False,2025-02-13,Before market open,408.89,True,2.59,"[5.0, 8.25, -1.5, 0.75]","[0.2, 0.2, 0.225, 0.375]",0.576,7.36,-4.77,+/+,380.86,408.89,414.31,418.49,391.0,415.0,413.31,419.49,403.02,409.76,421.0,405.82,409.17,411.0,398.72,400.97,406.27,385.0,383.29,402.0,381.45,2.59,"[5.0, 8.25, -1.5, 0.75]",5.0,8.25,-1.5,0.75,False,False,False,False,False,True,False,False,408.89,True,True
CYTK,Cytokinetics Incorporated Common Stock,3837198924.0,2255161,4,False,2025-02-27,After market close,44.36,True,10.82,"[15.0, 10.5, 1.5, 15.0]","[0.17, 0.21, 0.24, 0.38]",0.8,-5.34,16.16,+/-,46.86,47.04,47.45,48.54,46.91,44.36,46.0,46.95,42.87,42.89,46.58,42.61,43.69,44.58,41.92,43.88,44.08,42.47,43.27,45.0,42.23,10.82,"[15.0, 10.5, 1.5, 15.0]",15.0,10.5,1.5,15.0,True,False,True,False,True,False,True,False,44.36,False,False
QBTS,D-Wave Quantum Inc. Common Shares,3132290318.0,76561752,3,False,2024-11-14,Before market open,1.76,True,1.67,"[15.0, 5.0, -0.5, -3.0]","[0.13, 0.21, 0.26, 0.4]",0.55,-1.12,2.79,+/-,1.78,1.76,1.87,2.15,1.6,1.84,1.64,1.86,1.57,1.44,1.67,1.41,1.49,1.63,1.43,1.67,1.76,1.53,1.97,2.04,1.71,1.67,"[15.0, 5.0, -0.5, -3.0]",15.0,5.0,-0.5,-3.0,True,False,True,False,False,False,False,False,1.76,False,False
DHI,D.R. Horton Inc. Common Stock,38747848425.0,3379642,5,False,2025-04-17,Before market open,121.42,True,6.82,"[8.5, 5.0, 1.0, 10.0]","[0.26, 0.18, 0.21, 0.35]",0.75,3.3,3.52,+/+,117.54,121.42,121.25,123.0,117.54,120.36,120.76,121.15,117.75,124.96,125.29,121.04,124.79,129.08,124.48,126.04,126.49,123.81,124.56,125.78,123.48,6.82,"[8.5, 5.0, 1.0, 10.0]",8.5,5.0,1.0,10.0,False,False,False,False,False,False,False,False,121.42,True,True
SRE,DBA Sempra Common Stock,49349732655.0,4194128,4,False,2025-02-25,Before market open,72.38,True,5.42,"[8.0, 3.25, -1.5, 10.0]","[0.29, 0.2, 0.23, 0.28]",0.4500000000000001,-16.98,22.4,+/-,87.18,72.38,70.64,73.44,64.89,70.03,72.85,74.25,68.19,71.9,73.16,71.68,71.57,73.04,70.57,71.44,72.58,70.79,70.63,71.61,70.08,5.42,"[8.0, 3.25, -1.5, 10.0]",8.0,3.25,-1.5,10.0,True,False,True,False,False,False,True,False,72.38,False,False
DTM,DT Midstream Inc. Common Stock ,10176339017.0,902301,4,False,2025-02-26,Before market open,96.93,True,5.33,"[10.0, 3.5, 1.5, 5.0]","[0.26, 0.18, 0.2, 0.36]",0.82,1.18,4.15,+/+,95.8,96.93,94.91,97.5,93.23,93.77,92.93,94.69,91.8,96.09,96.26,92.68,94.59,97.78,93.39,93.24,95.25,91.38,93.62,94.07,91.49,5.33,"[10.0, 3.5, 1.5, 5.0]",10.0,3.5,1.5,5.0,False,False,False,False,False,False,False,False,96.93,True,True
DTE,DTE Energy Company Common Stock,27620337274.0,1376565,4,False,2025-02-13,Before market open,123.71,True,4.68,"[7.0, 6.5, -1.0, 5.0]","[0.29, 0.2, 0.2, 0.31]",0.65,-0.39,5.07,+/-,124.19,123.71,127.81,128.74,123.48,128.67,129.04,130.22,128.34,129.55,130.36,128.57,130.38,130.53,128.97,131.18,131.84,128.27,131.99,132.88,129.8,4.68,"[7.0, 6.5, -1.0, 5.0]",7.0,6.5,-1.0,5.0,True,False,True,False,False,False,True,False,123.71,False,False
DVA,DaVita Inc. Common Stock,11554400000.0,1279627,4,False,2025-02-13,After market close,154.0,True,5.72,"[5.0, 5.0, 2.0, 10.0]","[0.335, 0.2, 0.2, 0.265]",0.8,-10.47,16.19,+/-,172.0,172.79,177.06,178.38,172.52,154.0,157.42,159.27,150.11,155.05,158.21,153.0,154.96,155.64,152.47,145.92,154.54,144.0,142.4,144.76,141.0,5.72,"[5.0, 5.0, 2.0, 10.0]",5.0,5.0,2.0,10.0,True,False,True,False,True,False,True,False,154.0,False,False
DHR,Danaher Corporation Common Stock,143727924563.0,7207174,4,False,2025-01-29,Before market open,235.02,True,5.05,"[10.0, 5.5, -0.5, 5.0]","[0.245, 0.18, 0.23, 0.345]",0.75,-5.17,10.22,+/-,247.84,235.02,223.73,235.74,223.0,225.0,223.08,228.99,221.34,222.74,227.5,222.37,214.26,219.94,214.03,215.01,215.15,210.04,212.13,216.44,210.93,5.05,"[10.0, 5.5, -0.5, 5.0]",10.0,5.5,-0.5,5.0,True,False,True,False,False,False,True,False,235.02,False,False
DRI,Darden Restaurants Inc. Common Stock,23855800247.0,3983862,4,False,2025-03-20,Before market open,198.41,True,2.79,"[8.5, 5.0, -1.5, 0.0]","[0.26, 0.18, 0.21, 0.35]",0.6,5.45,-2.66,+/+,188.15,198.41,199.01,203.47,195.59,199.08,199.93,200.38,195.55,208.56,210.47,202.34,207.17,208.92,205.63,207.45,209.03,205.99,207.99,211.0,206.32,2.79,"[8.5, 5.0, -1.5, 0.0]",8.5,5.0,-1.5,0.0,False,False,False,False,False,True,False,False,198.41,True,True
DAR,Darling Ingredients Inc. Common Stock,5616220657.0,3247163,4,False,2025-02-06,Before market open,38.25,True,3.46,"[8.0, 4.5, 1.5, 0.7]","[0.26, 0.18, 0.22, 0.34]",0.75,6.1,-2.64,+/+,36.05,38.25,38.5,39.95,37.77,38.49,39.75,40.66,38.41,39.6,40.62,39.0,40.5,40.67,39.51,40.12,40.39,39.37,40.49,41.0,39.91,3.46,"[8.0, 4.5, 1.5, 0.7]",8.0,4.5,1.5,0.7,False,False,False,False,False,False,False,False,38.25,True,True
DDOG,Datadog Inc. Class A Common Stock,39169963460.0,4174720,4,False,2025-02-13,Before market open,136.55,True,5.28,"[8.5, 5.5, -2.0, 7.5]","[0.18, 0.19, 0.205, 0.415]",0.49,-7.79,13.07,+/-,148.09,136.55,135.89,136.71,130.88,133.61,131.01,135.81,129.69,130.63,130.86,127.23,128.85,130.9,128.15,126.24,128.85,124.33,119.64,126.64,119.59,5.28,"[8.5, 5.5, -2.0, 7.5]",8.5,5.5,-2.0,7.5,True,False,True,False,False,False,True,False,136.55,False,False
DAVE,Dave Inc. Class A Common Stock,2293488445.0,877847,4,False,2025-03-03,After market close,93.0,True,3.23,"[12.5, 8.0, -1.5, 0.75]","[0.14, 0.19, 0.24, 0.43]",0.58,-7.61,10.84,+/-,100.66,96.26,95.03,103.37,92.38,93.0,90.38,95.0,82.51,91.42,92.08,87.57,83.21,90.84,82.52,83.36,84.63,77.31,81.92,85.22,77.83,3.23,"[12.5, 8.0, -1.5, 0.75]",12.5,8.0,-1.5,0.75,True,False,True,False,False,False,True,False,93.0,False,False
DAY,Dayforce Inc. Common Stock,9528911712.0,1892245,4,False,2025-02-05,Before market open,67.03,True,2.1,"[10.0, 5.0, 1.5, -2.0]","[0.18, 0.17, 0.215, 0.435]",0.65,-6.57,8.67,+/-,71.74,67.03,66.0,68.1,63.07,66.98,65.67,67.19,64.72,65.03,67.3,64.57,65.76,66.75,65.06,65.25,65.76,64.9,64.81,64.92,63.5,2.1,"[10.0, 5.0, 1.5, -2.0]",10.0,5.0,1.5,-2.0,True,False,True,False,True,False,False,False,67.03,False,False
DECK,Deckers Outdoor Corporation Common Stock,19135620405.0,4588110,4,False,2025-01-30,After market close,196.1,True,8.55,"[12.5, 3.5, -1.0, 15.0]","[0.225, 0.185, 0.235, 0.355]",0.7,-10.42,18.97,+/-,218.9,221.22,223.11,223.98,219.54,196.1,177.36,198.65,177.31,170.63,177.59,169.78,169.49,174.38,169.02,172.52,174.48,169.2,172.19,177.64,172.03,8.55,"[12.5, 3.5, -1.0, 15.0]",12.5,3.5,-1.0,15.0,True,False,True,False,False,False,True,False,196.1,False,False
DE,Deere & Company Common Stock,134518170500.0,1597239,4,False,2025-02-13,Before market open,454.5,True,7.23,"[10.5, 5.0, 5.0, 7.5]","[0.26, 0.19, 0.23, 0.32]",0.8,-4.63,11.86,+/-,476.56,454.5,466.22,474.38,451.22,469.9,480.22,481.14,467.1,501.56,502.1,480.0,509.27,515.05,496.0,495.79,509.26,493.11,489.98,498.77,487.26,7.23,"[10.5, 5.0, 5.0, 7.5]",10.5,5.0,5.0,7.5,True,False,True,False,True,False,True,False,454.5,False,False
DELL,Dell Technologies Inc. Class C Common Stock ,72170697708.0,7927699,4,False,2025-02-27,After market close,100.96,True,4.03,"[5.0, 8.5, -3.0, 5.0]","[0.26, 0.18, 0.2, 0.36]",0.55,-12.7,16.73,+/-,115.65,117.0,107.83,117.45,107.43,100.96,102.76,103.9,99.0,95.56,103.77,94.51,94.07,96.85,92.41,97.25,97.88,93.21,93.02,95.86,92.92,4.03,"[5.0, 8.5, -3.0, 5.0]",5.0,8.5,-3.0,5.0,True,False,True,False,False,False,True,False,100.96,False,False
DAL,Delta Air Lines Inc. Common Stock,33392127343.0,18925968,4,False,2025-01-10,Before market open,64.99,True,6.56,"[7.5, 5.0, 1.0, 10.0]","[0.26, 0.18, 0.21, 0.35]",0.75,5.81,0.75,+/+,61.42,64.99,66.95,68.99,64.51,66.31,65.1,66.41,63.33,66.29,66.72,65.35,65.5,67.28,65.11,66.18,66.43,64.84,65.82,67.0,65.64,6.56,"[7.5, 5.0, 1.0, 10.0]",7.5,5.0,1.0,10.0,False,False,False,False,False,False,False,False,64.99,True,True
DNN,Denison Mines Corp Ordinary Shares (Canada),1379445916.0,51259884,3,False,2024-11-07,After market close,2.11,True,3.22,"[10.0, 5.0, 0.3, 0.2]","[0.215, 0.185, 0.215, 0.385]",0.75,3.43,-0.21,+/+,2.04,2.06,2.12,2.19,2.01,2.11,2.04,2.13,2.01,2.04,2.06,1.97,2.15,2.17,1.99,2.08,2.2,2.06,2.07,2.09,2.02,3.22,"[10.0, 5.0, 0.3, 0.2]",10.0,5.0,0.3,0.2,False,False,False,False,False,False,False,False,2.11,True,True
DVN,Devon Energy Corporation Common Stock,21542455000.0,8035649,4,False,2025-02-18,After market close,36.2,True,-0.37,"[5.0, -5.0, -0.5, -2.0]","[0.26, 0.18, 0.23, 0.33]",0.37,4.5,-4.87,-/+,34.64,34.99,34.88,35.5,34.37,36.2,37.57,38.64,36.2,38.55,38.88,37.71,37.49,38.65,37.35,37.31,37.66,36.9,35.88,37.24,35.78,-0.37,"[5.0, -5.0, -0.5, -2.0]",5.0,-5.0,-0.5,-2.0,False,False,False,True,False,True,False,True,36.2,False,True
DXCM,DexCom Inc. Common Stock,33348742960.0,4030142,4,False,2025-02-13,After market close,86.03,True,7.24,"[10.0, 5.5, 1.5, 10.0]","[0.25, 0.18, 0.23, 0.34]",0.78,2.58,4.66,+/+,83.87,83.96,84.09,84.58,83.2,86.03,89.07,89.84,86.0,90.53,93.25,89.57,89.68,91.74,89.12,89.34,89.84,88.36,88.78,89.87,87.56,7.24,"[10.0, 5.5, 1.5, 10.0]",10.0,5.5,1.5,10.0,False,False,False,False,False,False,False,False,86.03,True,True
DEO,Diageo plc Common Stock,63904520442.0,1037435,1,False,2024-07-30,Before market open,123.92,True,2.73,"[8.0, 5.0, -1.5, 0.3]","[0.26, 0.18, 0.23, 0.33]",0.66,-5.81,8.54,+/-,131.57,123.92,125.39,125.46,123.32,125.84,124.75,125.93,123.82,122.78,123.75,122.22,123.42,123.69,121.98,120.02,121.76,119.74,121.08,121.7,119.48,2.73,"[8.0, 5.0, -1.5, 0.3]",8.0,5.0,-1.5,0.3,True,False,True,False,False,False,True,False,123.92,False,False
FANG,Diamondback Energy Inc. Common Stock,41756644843.0,2264663,4,False,2025-02-24,After market close,157.21,True,6.01,"[12.5, 5.5, 1.0, 5.0]","[0.245, 0.18, 0.23, 0.345]",0.8,0.7,5.31,+/+,156.12,156.12,155.23,156.8,155.03,157.21,151.92,161.47,151.69,152.43,154.0,151.0,155.59,156.98,151.74,158.96,159.41,152.61,148.0,160.44,147.7,6.01,"[12.5, 5.5, 1.0, 5.0]",12.5,5.5,1.0,5.0,False,False,False,False,False,False,False,False,157.21,True,True
DKS,Dick's Sporting Goods Inc Common Stock,16962944820.0,2577872,4,False,2025-03-11,Before market open,206.04,True,5.2,"[8.5, 7.5, -1.0, 5.0]","[0.26, 0.17, 0.19, 0.38]",0.76,-2.36,7.56,+/-,211.02,206.04,198.97,213.0,195.86,198.13,195.17,201.31,193.27,186.55,195.06,186.09,194.5,194.96,187.76,197.81,197.93,192.2,193.25,196.53,193.11,5.2,"[8.5, 7.5, -1.0, 5.0]",8.5,7.5,-1.0,5.0,True,False,True,False,False,False,True,False,206.04,False,False
DLR,Digital Realty Trust Inc. Common Stock,55907387174.0,1931214,4,False,2025-02-13,After market close,164.81,True,8.56,"[10.0, 5.0, 0.5, 15.0]","[0.26, 0.18, 0.23, 0.33]",0.75,0.97,7.59,+/+,163.22,161.53,164.81,165.15,161.53,164.81,164.28,165.66,157.22,165.65,167.86,164.73,169.61,169.97,164.67,172.0,172.11,167.77,165.36,171.73,164.61,8.56,"[10.0, 5.0, 0.5, 15.0]",10.0,5.0,0.5,15.0,False,False,False,False,False,False,False,False,164.81,True,True
DFS,Discover Financial Services Common Stock,50952259444.0,2949782,4,False,2025-01-22,After market close,199.0,True,5.45,"[10.5, 5.0, -0.75, 5.0]","[0.29, 0.2, 0.2, 0.31]",0.65,5.15,0.3,+/+,189.26,190.37,197.5,198.97,190.15,199.0,200.96,204.93,196.01,202.1,203.06,199.94,200.33,202.22,198.0,199.53,202.08,197.93,201.03,202.81,197.49,5.45,"[10.5, 5.0, -0.75, 5.0]",10.5,5.0,-0.75,5.0,False,False,False,False,False,True,False,False,199.0,True,True
DOCU,DocuSign Inc. Common Stock,17790746799.0,1711994,4,False,2025-03-13,After market close,81.52,True,5.09,"[8.5, 5.5, 1.0, 5.0]","[0.245, 0.185, 0.215, 0.355]",0.775,1.73,3.36,+/+,80.13,79.16,74.7,79.36,74.26,81.52,85.76,88.7,80.75,83.43,88.32,83.32,85.01,85.47,82.05,85.61,86.21,82.36,85.11,87.49,84.58,5.09,"[8.5, 5.5, 1.0, 5.0]",8.5,5.5,1.0,5.0,False,False,False,False,False,False,False,False,81.52,True,True
DG,Dollar General Corporation Common Stock,19683064010.0,5487442,3,False,2024-12-05,Before market open,80.17,True,1.21,"[3.5, 5.0, -1.0, -2.0]","[0.29, 0.2, 0.22, 0.29]",0.5,0.84,0.37,+/+,79.5,80.17,79.6,80.8,75.35,81.32,81.59,84.75,80.88,80.8,81.76,79.89,82.39,82.98,79.24,79.82,82.69,79.74,78.42,80.21,77.94,1.21,"[3.5, 5.0, -1.0, -2.0]",3.5,5.0,-1.0,-2.0,False,False,False,False,False,True,False,True,80.17,True,True
DLTR,Dollar Tree Inc. Common Stock,19142388246.0,6166869,3,False,2024-12-04,Before market open,76.02,True,1.69,"[5.0, 5.0, -1.5, -1.5]","[0.29, 0.2, 0.21, 0.3]",0.5,4.88,-3.19,+/+,72.48,76.02,73.83,76.47,72.2,75.28,72.56,76.76,71.33,71.87,74.87,71.64,71.6,73.86,71.15,72.8,73.69,69.92,71.63,74.56,71.5,1.69,"[5.0, 5.0, -1.5, -1.5]",5.0,5.0,-1.5,-1.5,False,False,False,False,False,True,False,True,76.02,True,True
D,Dominion Energy Inc. Common Stock,46775562819.0,5756782,4,False,2025-02-12,Before market open,55.29,True,6.74,"[5.0, 4.0, -1.0, 15.0]","[0.26, 0.18, 0.23, 0.33]",0.62,-0.75,7.49,+/-,55.71,55.29,55.93,56.37,54.56,56.18,56.71,57.0,55.66,55.59,56.99,55.45,55.61,55.85,54.97,55.67,55.86,55.34,56.32,56.64,55.28,6.74,"[5.0, 4.0, -1.0, 15.0]",5.0,4.0,-1.0,15.0,True,False,True,False,False,False,True,False,55.29,False,False
DPZ,Domino's Pizza Inc Common Stock,16508158476.0,772677,5,False,2025-04-28,Before market open,477.02,True,5.33,"[8.5, 5.0, -1.0, 7.0]","[0.26, 0.19, 0.21, 0.34]",0.6,-2.17,7.5,+/-,487.58,477.02,490.64,497.56,471.0,489.0,493.43,498.36,485.95,490.37,493.93,482.3,481.39,490.82,480.93,484.61,489.45,475.0,477.84,484.3,477.69,5.33,"[8.5, 5.0, -1.0, 7.0]",8.5,5.0,-1.0,7.0,True,False,True,False,False,False,True,False,477.02,False,False
DASH,DoorDash Inc. Class A Common Stock,81401246413.0,4918097,4,False,2025-02-11,After market close,198.0,True,5.2,"[10.0, 7.0, 1.0, 5.0]","[0.14, 0.17, 0.21, 0.48]",0.73,2.79,2.41,+/+,192.63,190.92,193.09,194.0,189.5,198.0,200.89,201.17,195.2,205.64,206.0,195.62,213.38,214.64,204.87,211.97,215.24,209.57,213.24,214.11,207.81,5.2,"[10.0, 7.0, 1.0, 5.0]",10.0,7.0,1.0,5.0,False,False,False,False,False,False,False,False,198.0,True,True
DOV,Dover Corporation Common Stock,25170990738.0,1152214,4,False,2025-01-30,Before market open,210.0,True,4.46,"[5.0, 3.5, -0.5, 8.0]","[0.26, 0.18, 0.23, 0.33]",0.65,6.4,-1.94,+/+,197.36,210.0,205.42,214.57,202.59,206.85,203.68,208.31,202.27,202.28,204.38,198.55,202.92,222.31,201.76,204.73,205.22,201.04,204.66,205.51,203.43,4.46,"[5.0, 3.5, -0.5, 8.0]",5.0,3.5,-0.5,8.0,False,False,False,False,False,True,False,False,210.0,True,True
DOW,Dow Inc. Common Stock ,21898576643.0,11832538,4,False,2025-01-30,Before market open,39.32,True,3.83,"[5.0, 4.5, -1.0, 5.0]","[0.29, 0.18, 0.18, 0.35]",0.6,-4.21,8.04,+/-,41.05,39.32,38.55,39.48,37.49,38.83,39.05,39.28,38.41,37.38,38.3,36.66,38.55,38.92,37.54,37.95,38.45,37.72,38.77,38.89,38.19,3.83,"[5.0, 4.5, -1.0, 5.0]",5.0,4.5,-1.0,5.0,True,False,True,False,False,False,True,False,39.32,False,False
DOCS,Doximity Inc. Class A Common Stock,11453368950.0,3819251,4,False,2025-02-06,After market close,72.5,True,10.14,"[15.0, 5.5, 1.5, 15.0]","[0.23, 0.19, 0.215, 0.355]",0.75,24.7,-14.56,+/+,58.14,58.71,58.26,59.0,57.27,72.5,79.23,80.71,71.5,83.14,85.21,80.39,74.94,80.25,74.28,75.18,75.87,73.22,76.99,76.99,72.23,10.14,"[15.0, 5.5, 1.5, 15.0]",15.0,5.5,1.5,15.0,False,False,False,False,False,False,False,False,72.5,True,True
DKNG,DraftKings Inc. Class A Common Stock,18824113984.0,14913628,4,False,2025-02-13,After market close,48.72,True,5.73,"[8.0, 4.5, -2.0, 10.0]","[0.215, 0.185, 0.235, 0.365]",0.75,7.22,-1.49,+/+,45.44,44.96,46.45,47.1,44.84,48.72,53.49,53.61,48.04,51.49,53.5,50.3,50.78,51.15,49.35,49.44,50.5,47.83,45.57,49.59,45.47,5.73,"[8.0, 4.5, -2.0, 10.0]",8.0,4.5,-2.0,10.0,False,False,False,False,False,True,False,False,48.72,True,True
DBX,Dropbox Inc. Class A Common Stock,8244919660.0,4317325,4,False,2025-02-20,After market close,29.53,True,4.42,"[7.5, 4.0, 1.0, 5.0]","[0.2, 0.175, 0.225, 0.4]",0.68,-9.61,14.03,+/-,32.67,32.52,31.88,32.55,31.5,29.53,26.73,30.1,26.57,26.26,27.3,26.2,26.42,26.92,25.93,26.59,27.26,26.51,25.95,26.88,25.89,4.42,"[7.5, 4.0, 1.0, 5.0]",7.5,4.0,1.0,5.0,True,False,True,False,True,False,True,False,29.53,False,False
DD,DuPont de Nemours Inc. Common Stock,29826402705.0,5772133,4,False,2025-02-11,Before market open,79.76,True,3.6,"[5.0, 5.5, -1.5, 5.0]","[0.26, 0.19, 0.23, 0.32]",0.7,4.59,-0.99,+/+,76.26,79.76,81.48,83.01,79.4,80.49,81.76,82.26,79.91,84.05,84.34,82.0,83.25,85.0,83.22,84.32,84.82,83.44,82.42,83.19,82.19,3.6,"[5.0, 5.5, -1.5, 5.0]",5.0,5.5,-1.5,5.0,False,False,False,False,False,True,False,False,79.76,True,True
DUK,Duke Energy Corporation (Holding Company) Common Stock,90045235846.0,5661202,4,False,2025-02-13,Before market open,115.3,True,3.84,"[7.5, 5.0, 1.0, 1.5]","[0.29, 0.2, 0.2, 0.31]",0.86,-0.92,4.76,+/-,116.37,115.3,113.95,115.66,112.88,113.27,111.6,113.95,111.53,110.89,112.23,110.51,111.79,112.11,110.95,113.16,113.26,111.04,115.55,115.96,112.56,3.84,"[7.5, 5.0, 1.0, 1.5]",7.5,5.0,1.0,1.5,True,False,True,False,True,False,True,False,115.3,False,False
DUOL,Duolingo Inc. Class A Common Stock,23537571688.0,949625,5,False,2025-05-01,After market close,436.92,True,2.61,"[12.5, 6.78, -2.0, 0.25]","[0.13, 0.19, 0.21, 0.47]",0.67,12.18,-9.57,+/+,389.48,396.18,400.0,406.0,390.0,436.92,486.42,487.0,433.0,494.13,504.31,475.53,490.55,493.63,473.52,495.56,504.5,491.06,503.57,509.01,492.75,2.61,"[12.5, 6.78, -2.0, 0.25]",12.5,6.78,-2.0,0.25,False,False,False,False,False,True,False,False,436.92,True,True
BROS,Dutch Bros Inc. Class A Common Stock,11490741582.0,3791727,4,False,2025-02-12,After market close,84.56,True,8.88,"[8.5, 8.0, -1.0, 15.0]","[0.22, 0.19, 0.21, 0.38]",0.7,31.73,-22.85,+/+,64.19,63.17,64.71,64.98,62.11,84.56,83.54,86.42,80.17,81.97,84.91,81.24,85.37,86.88,82.41,84.99,86.37,84.39,82.03,86.09,81.48,8.88,"[8.5, 8.0, -1.0, 15.0]",8.5,8.0,-1.0,15.0,False,False,False,False,False,True,False,False,84.56,True,True
DY,Dycom Industries Inc. Common Stock,5580222813.0,435670,4,False,2025-02-26,Before market open,176.3,True,2.72,"[8.0, 5.0, 0.5, 0.15]","[0.2, 0.19, 0.216, 0.394]",0.33,2.54,0.18,+/+,171.94,176.3,161.96,181.77,154.22,161.05,162.13,167.52,159.54,163.86,166.37,159.1,161.02,167.07,159.83,153.05,159.75,152.35,153.89,155.35,147.21,2.72,"[8.0, 5.0, 0.5, 0.15]",8.0,5.0,0.5,0.15,False,False,False,False,False,False,False,False,176.3,True,True
DT,Dynatrace Inc. Common Stock,15111189666.0,2753560,4,False,2025-01-30,Before market open,57.53,True,7.46,"[5.0, 4.5, -1.5, 15.0]","[0.205, 0.185, 0.215, 0.395]",0.72,0.31,7.15,+/+,57.35,57.53,57.77,58.16,55.44,57.97,57.75,58.69,57.37,58.9,59.38,55.96,59.3,60.29,59.02,60.43,60.51,58.86,60.12,61.4,59.86,7.46,"[5.0, 4.5, -1.5, 15.0]",5.0,4.5,-1.5,15.0,False,False,False,False,False,True,False,False,57.53,True,True
DX,Dynex Capital Inc. Common Stock,1319802943.0,4255825,4,False,2025-01-27,Before market open,12.75,True,2.87,"[7.5, -3.5, -0.5, 5.0]","[0.29, 0.2, 0.21, 0.3]",0.45,0.95,1.92,+/+,12.63,12.75,12.78,13.03,12.71,12.85,12.91,12.96,12.8,12.86,13.01,12.79,13.15,13.16,12.9,13.27,13.43,13.13,13.21,13.27,12.99,2.87,"[7.5, -3.5, -0.5, 5.0]",7.5,-3.5,-0.5,5.0,False,False,False,True,False,True,False,False,12.75,True,True
EH,EHang Holdings Limited ADS,1383548971.0,2078383,4,False,2025-03-12,Before market open,24.93,True,7.86,"[15.0, 10.0, -1.5, 10.0]","[0.17, 0.21, 0.26, 0.36]",0.65,11.07,-3.21,+/+,22.45,24.93,21.63,25.06,21.2,21.78,21.77,23.05,21.4,24.18,24.58,22.37,25.26,25.79,23.62,24.68,25.5,24.31,24.12,24.84,23.17,7.86,"[15.0, 10.0, -1.5, 10.0]",15.0,10.0,-1.5,10.0,False,False,False,False,False,True,False,False,24.93,True,True
EME,EMCOR Group Inc. Common Stock,20468282809.0,441855,4,False,2025-02-26,Before market open,419.98,True,6.94,"[10.0, 3.5, 1.0, 10.0]","[0.245, 0.18, 0.21, 0.365]",0.75,5.51,1.43,+/+,398.03,419.98,420.88,433.63,415.13,418.62,402.71,424.14,401.84,408.91,409.01,396.02,395.73,411.1,394.01,388.08,398.38,376.29,392.6,396.2,384.8,6.94,"[10.0, 3.5, 1.0, 10.0]",10.0,3.5,1.0,10.0,False,False,False,False,False,False,False,False,419.98,True,True
EOG,EOG Resources Inc. Common Stock,62252466361.0,3983571,5,False,2025-05-01,After market close,111.12,True,2.23,"[5.0, 5.0, 1.5, 0.0]","[0.185, 0.19, 0.235, 0.39]",0.6,0.72,1.51,+/+,110.33,109.54,111.68,113.3,109.27,111.12,110.86,112.14,108.01,108.52,109.25,107.02,108.72,110.23,107.89,107.97,109.34,107.06,109.71,112.12,108.61,2.23,"[5.0, 5.0, 1.5, 0.0]",5.0,5.0,1.5,0.0,False,False,False,False,False,False,False,False,111.12,True,True
EPAM,EPAM Systems Inc. Common Stock,10571394007.0,710482,4,False,2025-02-20,Before market open,235.34,True,4.15,"[8.5, 5.0, -1.5, 5.0]","[0.185, 0.21, 0.23, 0.375]",0.65,-8.82,12.97,+/-,258.11,235.34,225.07,241.04,213.42,223.45,208.84,223.45,208.35,207.38,213.0,207.09,210.5,213.53,206.34,213.23,217.78,208.98,208.31,215.91,207.7,4.15,"[8.5, 5.0, -1.5, 5.0]",8.5,5.0,-1.5,5.0,True,False,True,False,False,False,True,False,235.34,False,False
