symbol,company_name,market_cap,latest_volume,cycle,isPurePrediction,release_date,whenInTheDay,end_price(first_available_sell_point),did_end_price_date_calculation_succeed,prediction [%],confidence,actual_price_change [%],digression [%],signComparison(predict/actual),start_price,n_open_price,n_close_price,n_high_price,n_low_price,n+1_open_price,n+1_close_price,n+1_high_price,n+1_low_price,n+2_close_price,n+2_high_price,n+2_low_price,n+3_close_price,n+3_high_price,n+3_low_price,n+4_close_price,n+4_high_price,n+4_low_price,n+5_close_price,n+5_high_price,n+5_low_price,factor_price_change_list,prediction 0 [%],factor_price_change_list_parsed,prediction_by_factor_1,prediction_by_factor_2,prediction_by_factor_3,prediction_by_factor_4,is_false_positive_factor_1,is_false_negative_factor_1,is_false_positive_factor_2,is_false_negative_factor_2,is_false_positive_factor_3,is_false_negative_factor_3,is_false_positive_factor_4,is_false_negative_factor_4,end_price,didWin,didWin_always_buy
SRE,DBA Sempra Common Stock,55169075894.0,4644082,3,False,2024-11-06,Before market open,80.95,True,2.76,0.7,7.308116048475945,3.67,+/+,81.69,80.95,87.66,87.99,80.32,87.65,89.15,89.55,87.45,90.63,91.26,88.87,91.5,92.03,89.91,91.58,91.86,90.86,91.57,92.49,90.64,"[5.0, 3.5, 1.5, -0.5]",2.76,"[5.0, 3.5, 1.5, -0.5]",5.0,3.5,1.5,-0.5,True,False,True,False,True,False,False,False,87.66,True,True
DTM,DT Midstream Inc. Common Stock ,9571823307.0,1017169,3,False,2024-10-29,Before market open,86.11,True,-0.97,0.45,2.1548743950218996,-0.2,-/+,86.78,86.11,88.65,88.67,84.68,87.65,90.27,90.83,87.65,89.49,90.72,89.41,88.31,90.25,88.13,89.21,89.27,88.09,91.56,91.79,89.4,"[-5.0, 5.5, -1.0, -0.5]",-0.97,"[-5.0, 5.5, -1.0, -0.5]",-5.0,5.5,-1.0,-0.5,False,False,True,False,False,False,False,False,88.65,False,True
DTE,DTE Energy Company Common Stock,27353923056.0,1079840,4,False,2025-02-13,Before market open,123.71,True,2.6,0.68,2.9148884773331223,2.99,+/+,124.19,123.71,127.81,128.74,123.48,128.67,129.04,130.22,128.34,129.55,130.36,128.57,130.38,130.53,128.97,131.18,131.84,128.27,131.99,132.88,129.8,"[5.0, 5.0, -1.0, 0.15]",2.6,"[5.0, 5.0, -1.0, 0.15]",5.0,5.0,-1.0,0.15,True,False,True,False,False,False,True,False,127.81,True,True
DVA,DaVita Inc. Common Stock,11392000000.0,1605084,4,False,2025-02-13,After market close,154.0,True,-1.02,0.2,-8.476744186046519,9.45,-/-,172.0,172.79,177.06,178.38,172.52,154.0,157.42,159.27,150.11,155.05,158.21,153.0,154.96,155.64,152.47,145.92,154.54,144.0,142.4,144.76,141.0,"[-5.0, 5.0, -2.0, -0.15]",-1.02,"[-5.0, 5.0, -2.0, -0.15]",-5.0,5.0,-2.0,-0.15,False,False,True,False,False,False,False,False,157.42,True,False
DHR,Danaher Corporation Common Stock,151843902892.0,6209936,4,False,2025-01-29,Before market open,235.02,True,1.5,0.5,-9.728050355067792,6.67,+/-,247.84,235.02,223.73,235.74,223.0,225.0,223.08,228.99,221.34,222.74,227.5,222.37,214.26,219.94,214.03,215.01,215.15,210.04,212.13,216.44,210.93,"[5.5, -5.0, -2.5, 6.5]",1.5,"[5.5, -5.0, -2.5, 6.5]",5.5,-5.0,-2.5,6.5,True,False,False,False,False,False,True,False,223.73,False,False
DRI,Darden Restaurants Inc. Common Stock,22399636951.0,1385017,3,False,2024-12-19,Before market open,176.37,True,1.64,0.74,14.743145288370618,-9.52,+/+,158.65,176.37,182.04,187.38,175.49,181.97,186.16,187.44,179.7,183.38,187.04,179.1,185.23,185.37,181.94,187.22,187.51,183.6,186.15,187.74,185.42,"[5.0, 4.5, 0.0, -2.52]",1.64,"[5.0, 4.5, 0.0, -2.52]",5.0,4.5,0.0,-2.52,False,False,False,False,False,False,False,True,182.04,True,True
DAR,Darling Ingredients Inc. Common Stock,6237872326.0,1734749,4,False,2025-02-06,Before market open,38.25,True,0.97,0.45,6.796116504854377,-5.14,+/+,36.05,38.25,38.5,39.95,37.77,38.49,39.75,40.66,38.41,39.6,40.62,39.0,40.5,40.67,39.51,40.12,40.39,39.37,40.49,41.0,39.91,"[8.0, -5.0, 1.5, 1.5]",0.97,"[8.0, -5.0, 1.5, 1.5]",8.0,-5.0,1.5,1.5,False,False,False,True,False,False,False,False,38.5,True,True
DDOG,Datadog Inc. Class A Common Stock,40644466300.0,6980355,4,False,2025-02-13,Before market open,136.55,True,-1.88,0.5,-8.238233506651373,5.92,-/-,148.09,136.55,135.89,136.71,130.88,133.61,131.01,135.81,129.69,130.63,130.86,127.23,128.85,130.9,128.15,126.24,128.85,124.33,119.64,126.64,119.59,"[-5.0, 3.5, -2.0, -2.0]",-1.88,"[-5.0, 3.5, -2.0, -2.0]",-5.0,3.5,-2.0,-2.0,False,False,True,False,False,False,False,False,135.89,True,False
DAVE,Dave Inc. Class A Common Stock,1287178273.0,840303,3,False,2024-11-12,After market close,78.25,True,7.3,0.5,52.598717516031066,-24.75,+/+,59.26,60.0,62.8,64.5,59.17,78.25,90.43,94.96,75.2,79.96,88.16,79.28,80.06,80.84,75.69,79.68,80.76,77.29,81.53,85.41,78.41,"[15.0, 5.0, -1.0, 5.0]",7.3,"[15.0, 5.0, -1.0, 5.0]",15.0,5.0,-1.0,5.0,False,False,False,False,False,True,False,False,90.43,True,True
DAY,Dayforce Inc. Common Stock,10195305000.0,2006794,4,False,2025-02-05,Before market open,67.03,True,2.08,0.65,-8.00111513799832,8.65,+/-,71.74,67.03,66.0,68.1,63.07,66.98,65.67,67.19,64.72,65.03,67.3,64.57,65.76,66.75,65.06,65.25,65.76,64.9,64.81,64.92,63.5,"[5.0, 3.5, 1.0, -1.5]",2.08,"[5.0, 3.5, 1.0, -1.5]",5.0,3.5,1.0,-1.5,True,False,True,False,True,False,False,False,66.0,False,False
DECK,Deckers Outdoor Corporation Common Stock,22245462268.0,2406097,4,False,2025-01-30,After market close,196.1,True,-1.5,0.4,-18.976701690269525,8.92,-/-,218.9,221.22,223.11,223.98,219.54,196.1,177.36,198.65,177.31,170.63,177.59,169.78,169.49,174.38,169.02,172.52,174.48,169.2,172.19,177.64,172.03,"[5.0, 5.0, -5.0, -10.0]",-1.5,"[5.0, 5.0, -5.0, -10.0]",5.0,5.0,-5.0,-10.0,True,False,True,False,False,False,False,False,177.36,True,False
DE,Deere & Company Common Stock,133066456674.0,1104344,4,False,2025-02-13,Before market open,454.5,True,-2.1,0.5,-2.1697163001510775,2.53,-/-,476.56,454.5,466.22,474.38,451.22,469.9,480.22,481.14,467.1,501.56,502.1,480.0,509.27,515.05,496.0,495.79,509.26,493.11,489.98,498.77,487.26,"[-5.0, 5.0, -1.0, -15.0]",-2.1,"[-5.0, 5.0, -1.0, -15.0]",-5.0,5.0,-1.0,-15.0,False,False,True,False,False,False,False,False,466.22,True,False
DELL,Dell Technologies Inc. Class C Common Stock ,82373996158.0,5657422,3,False,2024-11-26,After market close,124.42,True,-0.5,0.5,-13.720573896085817,12.85,-/-,143.58,143.43,141.17,143.85,140.65,124.42,123.88,126.65,120.82,127.08,127.96,124.49,125.34,129.13,122.79,125.06,125.52,123.68,125.6,126.82,123.43,"[5.0, 5.0, -10.0, -5.0]",-0.5,"[5.0, 5.0, -10.0, -5.0]",5.0,5.0,-10.0,-5.0,True,False,True,False,False,False,False,False,123.88,True,False
DAL,Delta Air Lines Inc. Common Stock,38757720360.0,12789800,4,False,2025-01-10,Before market open,64.99,True,3.12,0.52,9.003581895148162,-2.69,+/+,61.42,64.99,66.95,68.99,64.51,66.31,65.1,66.41,63.33,66.29,66.72,65.35,65.5,67.28,65.11,66.18,66.43,64.84,65.82,67.0,65.64,"[5.0, 5.0, 2.5, 0.6]",3.12,"[5.0, 5.0, 2.5, 0.6]",5.0,5.0,2.5,0.6,False,False,False,False,False,False,False,False,66.95,True,True
DNN,Denison Mines Corp Ordinary Shares (Canada),1374249697.0,51251449,3,False,2024-11-07,After market close,2.11,True,-2.17,0.4,0.0,-5.61,-/-,2.04,2.06,2.12,2.19,2.01,2.11,2.04,2.13,2.01,2.04,2.06,1.97,2.15,2.17,1.99,2.08,2.2,2.06,2.07,2.09,2.02,"[-10.0, 8.0, 0.5, -5.0]",-2.17,"[-10.0, 8.0, 0.5, -5.0]",-10.0,8.0,0.5,-5.0,False,True,False,False,False,False,False,True,2.04,True,False
DVN,Devon Energy Corporation Common Stock,24331010000.0,11529283,4,False,2025-02-18,After market close,36.2,True,6.22,0.75,8.458429561200923,1.72,+/+,34.64,34.99,34.88,35.5,34.37,36.2,37.57,38.64,36.2,38.55,38.88,37.71,37.49,38.65,37.35,,,,,,,"[10.5, 5.0, 1.5, 5.0]",6.22,"[10.5, 5.0, 1.5, 5.0]",10.5,5.0,1.5,5.0,False,False,False,False,False,False,False,False,37.57,True,True
DXCM,DexCom Inc. Common Stock,34692739758.0,3729489,4,False,2025-02-13,After market close,86.03,True,0.11,0.4,6.200071539286977,-2.47,+/+,83.87,83.96,84.09,84.58,83.2,86.03,89.07,89.84,86.0,90.53,93.25,89.57,89.68,91.74,89.12,89.34,89.84,88.36,88.78,89.87,87.56,"[5.2, 5.0, 0.02, -10.0]",0.11,"[5.2, 5.0, 0.02, -10.0]",5.2,5.0,0.02,-10.0,False,False,False,False,False,False,False,True,89.07,True,True
DEO,Diageo plc Common Stock,61481093325.0,867774,2,False,2025-02-04,Before market open,116.88,True,-0.85,0.42,-0.8381082699050748,-0.81,-/-,116.93,116.88,115.95,117.53,115.83,113.16,111.47,113.25,111.36,111.84,112.92,111.25,110.49,111.36,110.18,108.46,109.5,108.19,108.13,108.4,107.24,"[-5.0, 3.5, 1.0, -2.0]",-0.85,"[-5.0, 3.5, 1.0, -2.0]",-5.0,3.5,1.0,-2.0,False,False,True,False,True,False,False,False,115.95,True,False
FANG,Diamondback Energy Inc. Common Stock,45585352967.0,3935394,3,False,2024-11-04,After market close,174.04,True,3.85,0.5,-0.1028924202583782,4.37,+/-,174.94,177.31,178.87,180.43,176.62,174.04,174.76,178.01,172.86,182.71,184.87,176.13,180.69,182.31,178.52,180.98,181.29,178.34,178.25,181.19,178.12,"[5.0, 5.0, -2.0, 8.0]",3.85,"[5.0, 5.0, -2.0, 8.0]",5.0,5.0,-2.0,8.0,True,False,True,False,False,False,True,False,174.76,False,False
DKS,Dick's Sporting Goods Inc Common Stock,18302456166.0,1175056,3,False,2024-11-26,Before market open,225.65,True,7.5,0.73,-1.4008872285780996,2.12,+/-,214.15,225.65,211.15,228.25,207.95,217.01,212.59,223.87,211.57,206.2,213.76,205.94,214.28,217.71,206.22,208.44,217.09,208.08,210.55,212.05,205.55,"[8.5, 15.5, -1.0, 10.0]",7.5,"[8.5, 15.5, -1.0, 10.0]",8.5,15.5,-1.0,10.0,False,False,False,False,False,True,False,False,211.15,False,False
DLR,Digital Realty Trust Inc. Common Stock,54851996528.0,2498440,4,False,2025-02-13,After market close,164.81,True,4.33,0.75,0.6494302168851871,3.35,+/+,163.22,161.53,164.81,165.15,161.53,164.81,164.28,165.66,157.22,165.65,167.86,164.73,169.61,169.97,164.67,172.0,172.11,167.77,165.36,171.73,164.61,"[7.5, 5.0, 1.0, 5.0]",4.33,"[7.5, 5.0, 1.0, 5.0]",7.5,5.0,1.0,5.0,False,False,False,False,False,False,False,False,164.28,True,True
DFS,Discover Financial Services Common Stock,48823439633.0,2476053,4,False,2025-01-22,After market close,199.0,True,4.85,0.6,6.181971890520986,-0.3,+/+,189.26,190.37,197.5,198.97,190.15,199.0,200.96,204.93,196.01,202.1,203.06,199.94,200.33,202.22,198.0,199.53,202.08,197.93,201.03,202.81,197.49,"[10.0, 5.5, -3.0, 5.0]",4.85,"[10.0, 5.5, -3.0, 5.0]",10.0,5.5,-3.0,5.0,False,False,False,False,False,True,False,False,200.96,True,True
DOCU,DocuSign Inc. Common Stock,16961862918.0,1974951,3,False,2024-12-05,After market close,96.0,True,7.8,0.75,27.384212406238838,-6.5,+/+,83.99,83.59,83.68,84.35,82.79,96.0,106.99,107.86,95.33,102.26,106.05,102.14,95.85,101.31,95.14,94.75,97.86,94.53,94.52,95.7,93.15,"[10.0, 4.5, -1.5, 15.0]",7.8,"[10.0, 4.5, -1.5, 15.0]",10.0,4.5,-1.5,15.0,False,False,False,False,False,True,False,False,106.99,True,True
DG,Dollar General Corporation Common Stock,16866099632.0,3527382,3,False,2024-12-05,Before market open,79.55,True,1.99,0.61,0.12677484787019339,1.14,+/+,78.88,79.55,78.98,80.17,74.76,80.69,80.96,84.09,80.25,80.17,81.12,79.27,81.75,82.33,78.62,79.2,82.05,79.12,77.81,79.59,77.33,"[8.0, -5.0, 1.0, -0.05]",1.99,"[8.0, -5.0, 1.0, -0.05]",8.0,-5.0,1.0,-0.05,False,False,False,True,False,False,False,True,78.98,True,True
DLTR,Dollar Tree Inc. Common Stock,16119296304.0,3902739,3,False,2024-12-04,Before market open,76.02,True,-1.5,0.5,1.8625827814569458,-6.38,-/+,72.48,76.02,73.83,76.47,72.2,75.28,72.56,76.76,71.33,71.87,74.87,71.64,71.6,73.86,71.15,72.8,73.69,69.92,71.63,74.56,71.5,"[10.0, -8.0, -2.0, -10.0]",-1.5,"[10.0, -8.0, -2.0, -10.0]",10.0,-8.0,-2.0,-10.0,False,False,False,True,False,True,False,True,73.83,False,True
D,Dominion Energy Inc. Common Stock,48241752821.0,5117459,4,False,2025-02-12,Before market open,55.29,True,-0.82,0.45,0.39490217196194377,-0.07,-/+,55.71,55.29,55.93,56.37,54.56,56.18,56.71,57.0,55.66,55.59,56.99,55.45,55.61,55.85,54.97,55.67,55.86,55.34,56.32,56.64,55.28,"[-5.0, 3.5, 1.5, 2.5]",-0.82,"[-5.0, 3.5, 1.5, 2.5]",-5.0,3.5,1.5,2.5,False,False,True,False,True,False,True,False,55.93,False,True
DPZ,Domino's Pizza Inc Common Stock,15966550668.0,833944,3,False,2024-10-10,Before market open,416.44,True,2.2,0.6,-1.078036225902005,1.09,+/-,411.86,416.44,407.42,421.97,396.71,413.48,428.27,431.46,411.48,426.69,430.4,418.87,425.87,430.01,423.14,426.97,429.7,421.56,427.99,428.6,423.24,"[5.0, 5.0, 3.5, -5.0]",2.2,"[5.0, 5.0, 3.5, -5.0]",5.0,5.0,3.5,-5.0,False,False,False,False,False,False,False,True,407.42,False,False
DASH,DoorDash Inc. Class A Common Stock,83994011035.0,4096190,4,False,2025-02-11,After market close,198.0,True,6.12,0.5,4.288013289726414,3.33,+/+,192.63,190.92,193.09,194.0,189.5,198.0,200.89,201.17,195.2,205.64,206.0,195.62,213.38,214.64,204.87,211.97,215.24,209.57,213.24,214.11,207.81,"[12.5, 5.2, -2.0, 5.0]",6.12,"[12.5, 5.2, -2.0, 5.0]",12.5,5.2,-2.0,5.0,False,False,False,False,False,True,False,False,200.89,True,True
DOV,Dover Corporation Common Stock,27519183521.0,1214487,4,False,2025-01-30,Before market open,210.0,True,7.78,0.75,4.083907580056736,1.38,+/+,197.36,210.0,205.42,214.57,202.59,206.85,203.68,208.31,202.27,202.28,204.38,198.55,202.92,222.31,201.76,204.73,205.22,201.04,204.66,205.51,203.43,"[5.0, 5.0, 4.0, 15.0]",7.78,"[5.0, 5.0, 4.0, 15.0]",5.0,5.0,4.0,15.0,False,False,False,False,False,False,False,False,205.42,True,True
DOW,Dow Inc. Common Stock ,27808399594.0,5960980,4,False,2025-01-30,Before market open,39.32,True,-3.32,0.5,-6.090133982947625,0.89,-/-,41.05,39.32,38.55,39.48,37.49,38.83,39.05,39.28,38.41,37.38,38.3,36.66,38.55,38.92,37.54,37.95,38.45,37.72,38.77,38.89,38.19,"[-5.0, -4.0, 0.0, -3.0]",-3.32,"[-5.0, -4.0, 0.0, -3.0]",-5.0,-4.0,0.0,-3.0,False,False,False,False,False,False,False,False,38.55,True,False
DOCS,Doximity Inc. Class A Common Stock,13579297361.0,3203246,4,False,2025-02-06,After market close,72.5,True,2.92,0.55,36.274509803921575,-21.77,+/+,58.14,58.71,58.26,59.0,57.27,72.5,79.23,80.71,71.5,83.14,85.21,80.39,74.94,80.25,74.28,75.18,75.87,73.22,76.99,76.99,72.23,"[8.5, 5.5, 0.5, -5.0]",2.92,"[8.5, 5.5, 0.5, -5.0]",8.5,5.5,0.5,-5.0,False,False,False,False,False,False,False,True,79.23,True,True
DKNG,DraftKings Inc. Class A Common Stock,22327304991.0,16262758,4,False,2025-02-13,After market close,48.72,True,3.33,0.58,17.71566901408452,-3.89,+/+,45.44,44.96,46.45,47.1,44.84,48.72,53.49,53.61,48.04,51.49,53.5,50.3,50.78,51.15,49.35,49.44,50.5,47.83,45.57,49.59,45.47,"[5.0, 5.5, -2.0, 3.5]",3.33,"[5.0, 5.5, -2.0, 3.5]",5.0,5.5,-2.0,3.5,False,False,False,False,False,True,False,False,53.49,True,True
DBX,Dropbox Inc. Class A Common Stock,8279087578.0,16499501,4,False,2025-02-20,After market close,29.53,True,1.24,0.65,-18.181818181818183,10.85,+/-,32.67,32.52,31.88,32.55,31.5,29.53,26.73,30.1,26.57,,,,,,,,,,,,,"[7.5, 5.5, 5.0, -10.0]",1.24,"[7.5, 5.5, 5.0, -10.0]",7.5,5.5,5.0,-10.0,True,False,True,False,True,False,False,False,26.73,False,False
DD,DuPont de Nemours Inc. Common Stock,39023149760.0,2763048,4,False,2025-02-11,Before market open,79.76,True,2.7,0.5,6.845003933910306,-1.89,+/+,76.26,79.76,81.48,83.01,79.4,80.49,81.76,82.26,79.91,84.05,84.34,82.0,83.25,85.0,83.22,84.32,84.82,83.44,82.42,83.19,82.19,"[5.0, -3.5, 2.0, 5.0]",2.7,"[5.0, -3.5, 2.0, 5.0]",5.0,-3.5,2.0,5.0,False,False,False,True,False,False,False,False,81.48,True,True
DUK,Duke Energy Corporation (Holding Company) Common Stock,89260341898.0,4424017,4,False,2025-02-13,Before market open,115.3,True,1.99,0.75,-2.0795737733092734,2.91,+/-,116.37,115.3,113.95,115.66,112.88,113.27,111.6,113.95,111.53,110.89,112.23,110.51,111.79,112.11,110.95,113.16,113.26,111.04,115.55,115.96,112.56,"[3.0, 3.5, 1.5, 0.05]",1.99,"[3.0, 3.5, 1.5, 0.05]",3.0,3.5,1.5,0.05,True,False,True,False,True,False,True,False,113.95,False,False
DUOL,Duolingo Inc. Class A Common Stock,16949449425.0,1079375,3,False,2024-11-06,After market close,304.42,True,5.62,0.5,4.231023102310229,5.15,+/+,303.0,310.0,318.85,319.44,304.0,304.42,315.82,324.0,299.12,326.89,330.61,314.63,318.23,328.97,306.74,314.33,322.85,313.19,323.43,329.19,315.92,"[15.0, 8.0, -1.0, 10.0]",5.62,"[15.0, 8.0, -1.0, 10.0]",15.0,8.0,-1.0,10.0,False,False,False,False,False,True,False,False,315.82,True,True
BROS,Dutch Bros Inc. Class A Common Stock,11734958493.0,5566907,4,False,2025-02-12,After market close,84.56,True,9.78,0.5,30.144882380433103,-21.96,+/+,64.19,63.17,64.71,64.98,62.11,84.56,83.54,86.42,80.17,81.97,84.91,81.24,85.37,86.88,82.41,84.99,86.37,84.39,82.03,86.09,81.48,"[15.0, 4.5, -2.5, 26.9]",9.78,"[15.0, 4.5, -2.5, 26.9]",15.0,4.5,-2.5,26.9,False,False,False,False,False,True,False,False,83.54,True,True
DY,Dycom Industries Inc. Common Stock,5003369089.0,554711,3,False,2024-11-20,Before market open,192.0,True,2.74,0.65,-12.934562848266676,8.06,+/-,202.79,192.0,176.56,195.0,172.7,182.11,183.24,187.93,178.36,180.3,185.44,179.95,181.55,183.96,180.78,180.25,183.48,177.04,180.67,183.22,178.91,"[8.0, 5.0, -0.5, 5.0]",2.74,"[8.0, 5.0, -0.5, 5.0]",8.0,5.0,-0.5,5.0,True,False,True,False,False,False,True,False,176.56,False,False
DT,Dynatrace Inc. Common Stock,17925079976.0,2823669,4,False,2025-01-30,Before market open,57.53,True,4.59,0.75,0.7323452484742837,4.28,+/+,57.35,57.53,57.77,58.16,55.44,57.97,57.75,58.69,57.37,58.9,59.38,55.96,59.3,60.29,59.02,60.43,60.51,58.86,60.12,61.4,59.86,"[8.5, 5.0, 1.0, 3.0]",4.59,"[8.5, 5.0, 1.0, 3.0]",8.5,5.0,1.0,3.0,False,False,False,False,False,False,False,False,57.77,True,True
DX,Dynex Capital Inc. Common Stock,1115007547.0,5562283,4,False,2025-01-27,Before market open,12.75,True,3.02,0.85,1.1876484560569958,2.06,+/+,12.63,12.75,12.78,13.03,12.71,12.85,12.91,12.96,12.8,12.86,13.01,12.79,13.15,13.16,12.9,13.27,13.43,13.13,13.21,13.27,12.99,"[8.0, 3.5, 1.5, 0.05]",3.02,"[8.0, 3.5, 1.5, 0.05]",8.0,3.5,1.5,0.05,False,False,False,False,False,False,False,False,12.78,True,True
EH,EHang Holdings Limited ADS,1602249845.0,3862642,3,False,2024-11-18,Before market open,17.1,True,8.8,0.8,-7.0090634441087625,5.48,+/-,16.55,17.1,15.39,18.2,15.35,15.5,15.67,16.23,15.3,15.28,15.71,15.04,13.29,13.88,12.02,14.06,14.38,13.55,15.25,15.43,13.97,"[15.0, 10.0, 1.5, 5.0]",8.8,"[15.0, 10.0, 1.5, 5.0]",15.0,10.0,1.5,5.0,False,False,False,False,False,False,False,False,15.39,False,False
EME,EMCOR Group Inc. Common Stock,18600932557.0,702690,3,False,2024-10-31,Before market open,438.9,True,3.0,0.52,3.3136368902792284,1.3,+/+,431.55,438.9,445.85,456.53,436.29,457.33,452.98,461.64,451.3,461.27,468.36,450.45,475.54,476.26,461.9,501.63,504.28,486.64,504.1,509.21,501.35,"[5.0, 2.5, 0.0, 5.0]",3.0,"[5.0, 2.5, 0.0, 5.0]",5.0,2.5,0.0,5.0,False,False,False,False,False,False,False,False,445.85,True,True
EOG,EOG Resources Inc. Common Stock,74850900696.0,3456805,3,False,2024-11-07,After market close,130.71,True,2.1,0.56,5.439429928741085,-1.39,+/+,126.3,126.3,125.57,126.7,123.99,130.71,133.17,134.03,127.29,132.16,134.14,131.45,132.19,132.87,131.77,133.4,133.81,131.13,134.24,134.44,132.32,"[5.0, 5.0, 1.0, -3.0]",2.1,"[5.0, 5.0, 1.0, -3.0]",5.0,5.0,1.0,-3.0,False,False,False,False,False,False,False,True,133.17,True,True
EPAM,EPAM Systems Inc. Common Stock,11845702815.0,1694396,4,False,2025-02-20,Before market open,235.34,True,5.17,0.75,-12.800743868893113,14.0,+/-,258.11,235.34,225.07,241.04,213.42,223.45,208.84,223.45,208.35,,,,,,,,,,,,,"[7.5, 6.5, 0.0, 5.0]",5.17,"[7.5, 6.5, 0.0, 5.0]",7.5,6.5,0.0,5.0,True,False,True,False,False,False,True,False,225.07,False,False
EQT,EQT Corporation Common Stock,30015435840.0,13789868,4,False,2025-02-18,After market close,54.97,True,5.08,0.6,1.5160022459292575,2.19,+/+,53.43,53.62,53.78,54.55,52.7,54.97,54.24,56.66,54.04,52.56,54.01,51.73,50.24,52.54,49.79,,,,,,,"[10.0, 5.0, 1.0, 1.5]",5.08,"[10.0, 5.0, 1.0, 1.5]",10.0,5.0,1.0,1.5,False,False,False,False,False,False,False,False,54.24,True,True
EXP,Eagle Materials Inc Common Stock,7462423584.0,528707,4,False,2025-01-29,Before market open,260.0,True,1.84,0.4,-1.776659570350312,1.2,+/-,258.35,260.0,253.76,264.91,253.75,254.34,259.47,262.16,254.2,256.74,259.68,255.46,253.83,259.2,250.92,253.33,255.88,252.5,255.36,256.57,253.72,"[6.5, 4.5, 1.0, -5.0]",1.84,"[6.5, 4.5, 1.0, -5.0]",6.5,4.5,1.0,-5.0,False,False,False,False,False,False,False,True,253.76,False,False
EWBC,East West Bancorp Inc. Common Stock,13015890236.0,717176,4,False,2025-01-23,After market close,99.92,True,2.64,0.75,0.17621145374448616,4.82,+/+,102.15,102.54,102.9,103.52,101.98,99.92,102.33,102.45,98.67,103.3,103.63,101.45,102.42,103.89,102.3,102.65,103.55,101.77,102.99,104.14,102.04,"[5.0, 5.25, 1.0, 0.05]",2.64,"[5.0, 5.25, 1.0, 0.05]",5.0,5.25,1.0,0.05,True,False,True,False,True,False,True,False,102.33,True,True
EMN,Eastman Chemical Company Common Stock,11369422671.0,727019,4,False,2025-01-30,After market close,100.93,True,4.37,0.7475,7.497303128371093,-4.51,+/+,92.7,92.55,92.67,92.67,90.75,100.93,99.65,101.44,97.35,100.79,102.22,96.54,101.79,102.93,101.54,101.79,102.84,100.83,101.26,102.41,100.41,"[7.5, 3.5, 2.5, 3.0]",4.37,"[7.5, 3.5, 2.5, 3.0]",7.5,3.5,2.5,3.0,False,False,False,False,False,False,False,False,99.65,True,True
ETN,Eaton Corporation PLC Ordinary Shares,117520624000.0,4399569,4,False,2025-01-31,Before market open,322.02,True,2.95,0.57,-0.2017731580556481,4.5,+/-,327.1,322.02,326.44,330.55,314.4,317.34,315.41,322.1,311.12,314.7,319.6,313.01,315.25,316.76,311.3,315.85,323.68,312.77,313.05,322.64,311.97,"[5.0, 5.0, 0.0, 0.8]",2.95,"[5.0, 5.0, 0.0, 0.8]",5.0,5.0,0.0,0.8,True,False,True,False,False,False,True,False,326.44,False,False
ECL,Ecolab Inc. Common Stock,74950101342.0,970261,4,False,2025-02-11,Before market open,267.49,True,3.7,0.72,6.216963487029365,-5.06,+/+,245.94,267.49,261.23,267.56,260.54,258.05,262.03,262.57,255.15,265.47,267.23,262.06,264.74,268.0,264.54,266.22,267.66,262.98,266.24,266.55,263.82,"[8.0, 5.0, 1.0, 0.08]",3.7,"[8.0, 5.0, 1.0, 0.08]",8.0,5.0,1.0,0.08,False,False,False,False,False,False,False,False,261.23,True,True
EIX,Edison International Common Stock,20197629534.0,6203680,3,False,2024-10-29,After market close,81.32,True,-4.8,0.529,-1.4714678789328914,-2.09,-/-,83.59,82.73,82.26,83.18,81.72,81.32,82.36,83.51,80.94,81.53,82.92,81.24,80.27,81.95,80.18,80.14,80.48,79.35,81.1,81.1,79.67,"[5.0, 5.0, 2.5, -26.0]",-4.8,"[5.0, 5.0, 2.5, -26.0]",5.0,5.0,2.5,-26.0,True,False,True,False,True,False,False,False,82.36,True,False
EW,Edwards Lifesciences Corporation Common Stock,43232340000.0,2843657,4,False,2025-02-11,After market close,74.0,True,2.14,0.6,6.638537271448664,-1.94,+/+,71.1,70.73,70.91,71.05,70.32,74.0,75.82,76.0,73.89,76.0,76.71,74.85,76.19,76.73,75.74,75.67,76.67,75.56,74.67,76.5,74.56,"[8.0, -6.0, 1.0, 5.0]",2.14,"[8.0, -6.0, 1.0, 5.0]",8.0,-6.0,1.0,5.0,False,False,False,True,False,False,False,False,75.82,True,True
ELAN,Elanco Animal Health Incorporated Common Stock,5447767944.0,7323393,3,False,2024-11-07,Before market open,13.2,True,2.02,0.5,12.752721617418356,-0.62,+/+,12.86,13.2,14.5,14.75,12.87,14.28,14.07,14.4,13.84,14.27,14.44,14.02,14.12,14.71,14.02,14.19,14.32,14.13,14.04,14.24,13.88,"[10.0, 12.5, 1.5, -5.0]",2.02,"[10.0, 12.5, 1.5, -5.0]",10.0,12.5,1.5,-5.0,False,False,False,False,False,False,False,True,14.5,True,True
ESTC,Elastic N.V. Ordinary Shares,11024328119.0,912006,3,False,2024-11-21,After market close,117.6,True,7.49,0.66,21.95755249491985,-25.28,+/+,88.58,92.3,94.13,94.68,91.47,117.6,108.03,118.18,106.53,111.48,116.23,110.35,111.53,112.62,109.21,110.13,112.55,108.2,109.46,112.38,109.3,"[12.5, 5.0, -1.0, 11.8]",7.49,"[12.5, 5.0, -1.0, 11.8]",12.5,5.0,-1.0,11.8,False,False,False,False,False,True,False,False,108.03,True,True
